formula,class,mp,technique,dag_nodes,temporals,tree_nodes,sharing,build_s,equiv,reconstructed
aut_18194.hoa,?,?,acc,1,0,1,1.0,1.108,True,1
aut_18195.hoa,?,?,acc,1,0,1,1.0,1.108,True,1
aut_18196.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_18198.hoa,?,?,acc,1,0,1,1.0,1.106,True,1
aut_18200.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_18204.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_18208.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_18210.hoa,?,?,buchi,8,3,16,2.0,1.101,True,(!a R Fa) & G(!a | X(!a R Fa))
aut_18211.hoa,?,?,acc,1,0,1,1.0,1.099,True,1
aut_18212.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_18214.hoa,?,?,buchi,9,3,14,1.6,1.113,True,X(Fa & G(!a | X(!a R Fa)))
aut_18216.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_18220.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_18224.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_18226.hoa,?,?,acc,1,0,1,1.0,1.107,True,1
aut_18227.hoa,?,?,buchi,8,3,15,1.9,1.108,True,(a R F!a) & G(a | X(a R F!a))
aut_18230.hoa,?,?,acc,1,0,1,1.0,1.113,True,1
aut_18236.hoa,?,?,daisy2,4,2,4,1.0,0.063,True,GF!a
aut_18242.hoa,?,?,acc,1,0,1,1.0,1.100,True,1
aut_18246.hoa,?,?,acc,1,0,1,1.0,1.103,True,1
aut_18272.hoa,?,?,daisy2,1,0,1,1.0,0.062,True,1
aut_18274.hoa,?,?,acc,1,0,1,1.0,1.096,True,1
aut_18275.hoa,?,?,acc,1,0,1,1.0,1.107,True,1
aut_18276.hoa,?,?,daisy2,1,0,1,1.0,0.067,True,1
aut_18278.hoa,?,?,acc,1,0,1,1.0,1.102,True,1
aut_18280.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_18284.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_18290.hoa,?,?,acc,1,0,1,1.0,1.103,True,1
aut_18294.hoa,?,?,acc,1,0,1,1.0,1.107,True,1
aut_18306.hoa,?,?,buchi,8,2,11,1.4,1.106,True,Fa & G(!a | XXFa)
aut_18310.hoa,?,?,buchi,8,2,11,1.4,1.112,True,Fa & G(!a | XXFa)
aut_18370.hoa,?,?,acc,1,0,1,1.0,1.113,True,1
aut_18374.hoa,?,?,acc,1,0,1,1.0,1.106,True,1
aut_18438.hoa,?,?,daisy,5,3,6,1.2,0.064,True,F(a & GFa)
aut_18439.hoa,?,?,daisy,6,3,7,1.2,0.062,True,F(a & GF!a)
aut_18452.hoa,?,?,daisy2,3,2,3,1.0,0.067,True,GFa
aut_18454.hoa,?,?,buchi,619,111,820086,1324.9,1.181,UNVERIFIED_SIZE,<unflattened DAG: 820086 tree nodes>
aut_18455.hoa,?,?,buchi,2,1,2,1.0,1.110,True,Fa
aut_18456.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_18460.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_18468.hoa,?,?,daisy2,3,2,3,1.0,0.064,True,GFa
aut_18476.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_18484.hoa,?,?,daisy2,6,3,7,1.2,0.065,True,G(F!a & Fa)
aut_18488.hoa,?,?,daisy2,6,3,7,1.2,0.066,True,G(F!a & Fa)
aut_18492.hoa,?,?,daisy2,6,2,7,1.2,0.065,True,GF(a & X!a)
aut_18498.hoa,?,?,buchi,46,9,373,8.1,1.119,True,F(a & Xa) & ((!a U (a & Xa)) | ((!a | X!a) U (!a & X(!a U (a & Xa))))) & (((a R …
aut_18499.hoa,?,?,-,,,,,15.026,BUILD_TIMEOUT>15s,
aut_18531.hoa,?,?,buchi,2,1,2,1.0,1.116,True,Fa
aut_18536.hoa,?,?,daisy2,5,2,6,1.2,0.065,True,GF(a & Xa)
aut_18546.hoa,?,?,daisy,3,2,3,1.0,0.065,True,GFa
aut_18562.hoa,?,?,-,,,,,0.583,NOT_LTL,
aut_18563.hoa,?,?,-,,,,,15.027,BUILD_TIMEOUT>15s,
aut_18627.hoa,?,?,-,,,,,0.581,NOT_LTL,
aut_19462.hoa,?,?,daisy,6,3,7,1.2,0.063,True,F(!a & GFa)
aut_19463.hoa,?,?,daisy,6,3,8,1.3,0.066,True,F(!a & GF!a)
aut_19476.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_19478.hoa,?,?,buchi,3,1,3,1.0,1.102,True,F!a
aut_19479.hoa,?,?,buchi,619,111,796540,1286.8,1.181,UNVERIFIED_SIZE,<unflattened DAG: 796540 tree nodes>
aut_19480.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_19484.hoa,?,?,daisy2,4,2,4,1.0,0.066,True,GF!a
aut_19492.hoa,?,?,daisy2,6,3,7,1.2,0.065,True,G(Fa & F!a)
